"Test Information",Value
"RUN ID",488
"END EXECUTION TIME","2021-05-07 10:59:57"
"SOURCE PROBE NAME",raspberrypi-AAS
"SOURCE PROBE TEST IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE MANAGEMENT IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE GROUP",Administrators
"DESTINATION PROBE NAME",raspberrypi-5G
"DESTINATION PROBE TEST IP ADDRESS",raspberrypi-5G
"DESTINATION PROBE MANAGEMENT IP ADDRESS",raspberrypi-5G
"DESTINATION PROBE GROUP",Administrators
"DESTINATION PROBE LOCATION",
"TEST MODULE",MESH
"TEST TYPE","Network KPI"
"TEST ADDITIONAL INFORMATION"," DSCP Setting: Best Effort"
"TEST DURATION",120
"TEST STATUS",Failed
"FAIL OR ERROR REASON"," Threshold failed on KPI from->to Max Delay Variation (ms) 
"

Metric,"Pair Name",Value,"Threshold Type",Threshold,"Status KPI"
MOS,"KPI from->to",118,4.36
MOS,"KPI from->to",120,4.36

Metric,"Pair Name",Timestamp,Value
"Delay (ms)","KPI from->to",2,21
"Delay (ms)","KPI from->to",4,20
"Delay (ms)","KPI from->to",6,20
"Delay (ms)","KPI from->to",8,22
"Delay (ms)","KPI from->to",10,21
"Delay (ms)","KPI from->to",12,21
"Delay (ms)","KPI from->to",14,21
"Delay (ms)","KPI from->to",16,20
"Delay (ms)","KPI from->to",18,22
"Delay (ms)","KPI from->to",20,19
"Delay (ms)","KPI from->to",22,20
"Delay (ms)","KPI from->to",24,20
"Delay (ms)","KPI from->to",26,23
"Delay (ms)","KPI from->to",28,21
"Delay (ms)","KPI from->to",30,18
"Delay (ms)","KPI from->to",32,20
"Delay (ms)","KPI from->to",34,20
"Delay (ms)","KPI from->to",36,20
"Delay (ms)","KPI from->to",38,20
"Delay (ms)","KPI from->to",40,21
"Delay (ms)","KPI from->to",42,22
"Delay (ms)","KPI from->to",44,24
"Delay (ms)","KPI from->to",46,21
"Delay (ms)","KPI from->to",48,20
"Delay (ms)","KPI from->to",50,20
"Delay (ms)","KPI from->to",52,19
"Delay (ms)","KPI from->to",54,18
"Delay (ms)","KPI from->to",56,30
"Delay (ms)","KPI from->to",58,25
"Delay (ms)","KPI from->to",60,22
"Delay (ms)","KPI from->to",62,22
"Delay (ms)","KPI from->to",64,21
"Delay (ms)","KPI from->to",66,20
"Delay (ms)","KPI from->to",68,20
"Delay (ms)","KPI from->to",70,20
"Delay (ms)","KPI from->to",72,19
"Delay (ms)","KPI from->to",74,22
"Delay (ms)","KPI from->to",76,21
"Delay (ms)","KPI from->to",78,23
"Delay (ms)","KPI from->to",80,19
"Delay (ms)","KPI from->to",82,21
"Delay (ms)","KPI from->to",84,23
"Delay (ms)","KPI from->to",86,21
"Delay (ms)","KPI from->to",88,19
"Delay (ms)","KPI from->to",90,18
"Delay (ms)","KPI from->to",92,19
"Delay (ms)","KPI from->to",94,19
"Delay (ms)","KPI from->to",96,21
"Delay (ms)","KPI from->to",98,22
"Delay (ms)","KPI from->to",100,19

Metric,"Pair Name",Timestamp,Value
"Delay (ms)","KPI from->to",102,19
"Delay (ms)","KPI from->to",104,18
"Delay (ms)","KPI from->to",106,23
"Delay (ms)","KPI from->to",108,28
"Delay (ms)","KPI from->to",110,20
"Delay (ms)","KPI from->to",112,21
"Delay (ms)","KPI from->to",114,20
"Delay (ms)","KPI from->to",116,17
"Delay (ms)","KPI from->to",118,18
"Delay (ms)","KPI from->to",120,20

Metric,"Pair Name",Timestamp,Value
"Max Delay Variation (ms)","KPI from->to",102,9
"Max Delay Variation (ms)","KPI from->to",104,8
"Max Delay Variation (ms)","KPI from->to",106,6
"Max Delay Variation (ms)","KPI from->to",108,9
"Max Delay Variation (ms)","KPI from->to",110,9
"Max Delay Variation (ms)","KPI from->to",112,17
"Max Delay Variation (ms)","KPI from->to",114,8
"Max Delay Variation (ms)","KPI from->to",116,8
"Max Delay Variation (ms)","KPI from->to",118,6
"Max Delay Variation (ms)","KPI from->to",120,8


